BDM编码,岗位编码,ExternalId
20577,ZJ131011003,ZJ131011003ZJ131011003
20481,ZJ131011003,ZJ131011003ZJ131011003
20482,ZJ131011003,ZJ131011003ZJ131011003
20558,ZJ131011004,ZJ131011004ZJ131011004
20578,ZJ131011004,ZJ131011004ZJ131011004
21079,ZJ131011005,ZJ131011005ZJ131011005
20064,ZJ131011004,ZJ131011004ZJ131011004
21080,ZJ131011005,ZJ131011005ZJ131011005
20404,ZJ131011004,ZJ131011004ZJ131011004
20571,ZJ131011005,ZJ131011005ZJ131011005
20140,ZJ131011006,ZJ131011006ZJ131011006
20553,ZJ131011006,ZJ131011006ZJ131011006
20032,ZJ131011006,ZJ131011006ZJ131011006
20139,ZJ131011006,ZJ131011006ZJ131011006
20411,ZJ131011006,ZJ131011006ZJ131011006
20300,ZJ131011006,ZJ131011006ZJ131011006
20584,ZJ131011006,ZJ131011006ZJ131011006
20068,ZJ131011007,ZJ131011007ZJ131011007
20216,ZJ131011010,ZJ131011010ZJ131011010
20081,ZJ131011007,ZJ131011007ZJ131011007
20067,ZJ131011007,ZJ131011007ZJ131011007
20061,ZJ131011008,ZJ131011008ZJ131011008
20572,ZJ131011008,ZJ131011008ZJ131011008
20045,ZJ131011008,ZJ131011008ZJ131011008
20066,ZJ131011009,ZJ131011009ZJ131011009
20535,ZJ131011009,ZJ131011009ZJ131011009
20536,ZJ131011009,ZJ131011009ZJ131011009
20070,ZJ131011007,ZJ131011007ZJ131011007
20084,ZJ131011007,ZJ131011007ZJ131011007
20087,ZJ131011010,ZJ131011010ZJ131011010
20538,ZJ131011010,ZJ131011010ZJ131011010
20554,ZJ131011011,ZJ131011011ZJ131011011
20569,ZJ131011011,ZJ131011011ZJ131011011
20570,ZJ131011011,ZJ131011011ZJ131011011
20065,ZJ131011011,ZJ131011011ZJ131011011
20115,ZJ131011012,ZJ131011012ZJ131011012
20116,ZJ131011012,ZJ131011012ZJ131011012
20124,ZJ131011012,ZJ131011012ZJ131011012
20125,ZJ131011012,ZJ131011012ZJ131011012
22556,ZJ131011012,ZJ131011012ZJ131011012
20120,ZJ131011012,ZJ131011012ZJ131011012
19972,ZJ131011012,ZJ131011012ZJ131011012
19960,ZJ131011012,ZJ131011012ZJ131011012
20001,ZJ131011012,ZJ131011012ZJ131011012
20266,ZJ131011013,ZJ131011013ZJ131011013
20267,ZJ131011013,ZJ131011013ZJ131011013
