BDM编码,岗位编码,ExternalId
18260,TJ131011003,18260TJ131011003
20977,TJ131011007,20977TJ131011007
18274,TJ131011003,18274TJ131011003
18261,TJ131011004,18261TJ131011004
5602,TJ131011004,5602TJ131011004
6218,TJ131011004,6218TJ131011004
20978,TJ131011006,20978TJ131011006
18251,TJ131011004,18251TJ131011004
21108,TJ131011004,21108TJ131011004
5199,TJ131011005,5199TJ131011005
5203,TJ131011005,5203TJ131011005
18264,TJ131011005,18264TJ131011005
18362,TJ131011003,18362TJ131011003
20981,TJ131011005,20981TJ131011005
18390,TJ131011005,18390TJ131011005
18311,TJ131011006,18311TJ131011006
18365,TJ131011001,18365TJ131011001
18304,TJ131011004,18304TJ131011004
18381,TJ131011006,18381TJ131011006
20976,TJ131011005,20976TJ131011005
18272,TJ131011006,18272TJ131011006
18162,TJ131011007,18162TJ131011007
18262,TJ131011007,18262TJ131011007
18329,TJ131011007,18329TJ131011007
18259,TJ131011002,18259TJ131011002
18265,TJ131011007,18265TJ131011007
18183,TJ131011007,18183TJ131011007
5963,TJ131011008,5963TJ131011008
5739,TJ131011008,5739TJ131011008
5743,TJ131011008,5743TJ131011008
5984,TJ131011008,5984TJ131011008
5569,TJ131011008,5569TJ131011008
5511,TJ131011008,5511TJ131011008
18308,TJ131011003,18308TJ131011003
18236,TJ131011003,18236TJ131011003
无,TJ131011007,无TJ131011007
3197,GD131011001,3197GD131011001
3229,GD131011001,3229GD131011001
3314,GD131011001,3314GD131011001
3279,GD131011002,3279GD131011002
3281,GD131011002,3281GD131011002
3282,GD131011002,3282GD131011002
3380,GD131011002,3380GD131011002
3283,GD131011002,3283GD131011002
3381,GD131011002,3381GD131011002
3351,GD131011003,3351GD131011003
3356,GD131011003,3356GD131011003
2984,GD131011001,2984GD131011001
3223,GD131011003,3223GD131011003
2985,GD131011001,2985GD131011001
3144,GD131011003,3144GD131011003
3346,GD131011004,3346GD131011004
3357,GD131011004,3357GD131011004
3367,GD131011004,3367GD131011004
3272,GD131011004,3272GD131011004
3368,GD131011004,3368GD131011004
3143,GD131011005,3143GD131011005
3309,GD131011005,3309GD131011005
3365,GD131011005,3365GD131011005
3366,GD131011005,3366GD131011005
3288,GD131011006,3288GD131011006
23725,GD131011006,23725GD131011006
23458,GD131011006,23458GD131011006
3079,GD131011006,3079GD131011006
3287,GD131011006,3287GD131011006
3299,GD131011006,3299GD131011006
3382,GD131011006,3382GD131011006
3939,GD131011007,3939GD131011007
21013,GD131011008,21013GD131011008
3307,GD131011007,3307GD131011007
3932,GD131011008,3932GD131011008
3933,GD131011008,3933GD131011008
21014,GD131011011,21014GD131011011
3934,GD131011009,3934GD131011009
3456,GD131011009,3456GD131011009
3330,GD131011009,3330GD131011009
3936,GD131011010,3936GD131011010
3982,GD131011009,3982GD131011009
21220,GD131011010,21220GD131011010
3564,GD131011011,3564GD131011011
3561,GD131011011,3561GD131011011
27295,GD131011011,27295GD131011011
3137,GD131011011,3137GD131011011
23828,GD131011012,23828GD131011012
21029,GD131011012,21029GD131011012
3369,GD131011012,3369GD131011012
3241,GD131011012,3241GD131011012
21030,GD131011013,21030GD131011013
3563,GD131011013,3563GD131011013
3576,GD131011013,3576GD131011013
3097,GD131011014,3097GD131011014
3110,GD131011014,3110GD131011014
3119,GD131011015,3119GD131011015
3094,GD131011015,3094GD131011015
3092,GD131011015,3092GD131011015
3566,GD131011016,3566GD131011016
3570,GD131011016,3570GD131011016
3099,GD131011016,3099GD131011016
23900,GD131011016,23900GD131011016
3116,GD131011017,3116GD131011017
21176,GD131011017,21176GD131011017
21177,GD131011017,21177GD131011017
21180,GD131011017,21180GD131011017
21182,GD131011017,21182GD131011017
3785,GD131011017,3785GD131011017
3947,GD131011018,3947GD131011018
3967,GD131011018,3967GD131011018
3978,GD131011018,3978GD131011018
3979,GD131011018,3979GD131011018
3935,GD131011018,3935GD131011018
4001,GD131011018,4001GD131011018
3464,GD131011019,3464GD131011019
3465,GD131011019,3465GD131011019
21219,GD131011019,21219GD131011019
3798,GD131011019,3798GD131011019
3474,GD131011019,3474GD131011019
3409,GD131011019,3409GD131011019
3193,GD131011020,3193GD131011020
3230,GD131011020,3230GD131011020
3910,GD131011020,3910GD131011020
3897,GD131011020,3897GD131011020
3900,GD131011020,3900GD131011020
24951,GD131011020,24951GD131011020
3720,GD131011021,3720GD131011021
